stratum,context,combination,architecture_label_corrected,trait_name_corrected,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,architecture_label_original,trait_name_original,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,tropical,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,754,98,4.0,-0.04904167988967152,0.04438803087983016,0.2692288480527835,-0.10642909464634273,0.05419461006123924,0.04954960950121956,0.4188004303043299,butterfly_associated_form,floral_form,30,fit,754,98,4.0,-0.041826633567845,0.044296381372916,0.345044499768422,-0.1079006522145351,0.0546559849745832,0.0483614876902511,0.5367358885286565
all_observed,tropical,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,891,100,7.0,0.03607889335791273,0.04682342576688151,0.4409850712382991,-0.29797779032727156,0.06296169624588326,2.215706776809372e-06,0.5612537270305625,bird_associated_intermediate_deep_tube,tube_depth_class,30,fit,891,100,7.0,0.0318669885521225,0.0458331540754519,0.4868782982061692,-0.2971899259361895,0.0629536031431883,2.349453350153356e-06,0.6196632886260336
all_observed,tropical,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,conditional_selfing,fit,839,97,5.0,-0.08686387664870816,0.040182746429669194,0.030639707432194775,-0.13676322419546819,0.0515792753751524,0.008013154507990292,0.21447795202536343,bird_associated_form,floral_form,30,fit,839,97,5.0,-0.0797435831538116,0.0377789582705311,0.0347900568821278,-0.1375994042456217,0.0514094483560621,0.0074386861403743,0.2435303981748946
all_observed,tropical,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,891,100,7.0,0.11583931703636147,0.03878579549756961,0.002820590692590315,-0.26067779972458893,0.0444205237420421,4.3999687412770046e-09,0.03948826969626441,butterfly_associated_deep_tube,tube_depth_class,30,fit,891,100,7.0,0.1170287085033035,0.0387595862408663,0.0025331873845839,-0.2637588485266569,0.0444179454792617,2.8831856579576836e-09,0.0354646233841758
all_observed,tropical,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,839,97,5.0,-0.05435845272809557,0.03953021421254189,0.16909687517136945,-0.23593057301148743,0.04914245694889731,1.579131833943262e-06,0.41345199141688016,butterfly_associated_form,floral_form,30,fit,839,97,5.0,-0.0463527050568466,0.040588810041098,0.2534511113812724,-0.2379857198818876,0.049617545649825,1.615405312548295e-06,0.4904673486559855
all_observed,tropical,yellow_orange__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,891,100,7.0,0.03607889335791273,0.04682342576688151,0.4409850712382991,-0.29797779032727156,0.06296169624588326,2.215706776809372e-06,0.5612537270305625,large_bee_associated_intermediate_deep_tube,tube_depth_class,30,fit,891,100,7.0,0.0318669885521225,0.0458331540754519,0.4868782982061692,-0.2971899259361895,0.0629536031431883,2.349453350153356e-06,0.6196632886260336
all_observed,tropical,yellow_orange__large_bee_form_given_colour,large_bee_associated_form,floral_form,pilot,30,conditional_selfing,fit,839,97,5.0,-0.05075974203991337,0.04485317452117719,0.2577661658551432,-0.08356938331745015,0.04596259189121127,0.06903290938160862,0.4188004303043299,large_bee_associated_form,floral_form,30,fit,839,97,5.0,-0.0492107252392713,0.042159700787396,0.2431112006061779,-0.0829088834438541,0.0456578570300876,0.0693898101377128,0.4904673486559855
all_observed,tropical,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,unconditional,fit,957,100,5.0,0.017012943004876324,0.034137224488889346,0.6182238054543122,,,,0.7055321661323012,butterfly_associated_deep_tube,tube_depth_class,30,fit,957,100,5.0,0.0161912840592688,0.0325659447485414,0.6190589268880125,,,,0.6190589268880125
all_observed,tropical,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,823,101,3.0,-0.028951858890981286,0.03570777243452399,0.41748058273518523,,,,0.6494142398102881,butterfly_associated_form,floral_form,30,fit,823,101,3.0,-0.0362118927353033,0.0357310417073793,0.3108416792964021,,,,0.4835315011277366
all_observed,tropical,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,957,100,5.0,0.037016638397449286,0.034151123960749444,0.27840608653653787,,,,0.48721065143894127,large_bee_associated_intermediate_deep_tube,tube_depth_class,30,fit,957,100,5.0,0.0382379826019574,0.0333479283016109,0.25153150262032,,,,0.442004774894656
all_observed,tropical,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,pilot,30,unconditional,fit,823,101,3.0,-0.12064937081199717,0.04584811953324349,0.008500862563629032,,,,0.03967069196360215,large_bee_associated_form,floral_form,30,fit,823,101,3.0,-0.1214345567770713,0.0467196019056349,0.0093435676853404,,,,0.0487906399464099
all_observed,tropical,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,953,99,5.0,-0.021591858906665706,0.039004847050835234,0.5798741145399038,,,,0.7055321661323012,bird_associated_intermediate_deep_tube,tube_depth_class,30,fit,953,99,5.0,-0.0218842706921296,0.036971899113872,0.5539066207109402,,,,0.6190589268880125
